Feature ID,Area,Surface,Feature,Code reference,User story,Expected behavior from code,Existing automated coverage,Baseline status,Baseline evidence,Errors / issue IDs,Fix status,Retest status,Retest evidence,Notes
F-011,Admin,GET /v1/admin/screening-policies,Get V1 Admin Screening Policies,src/routes/admin.ts:2378,"As a admin operator, I want get v1 admin screening policies through GET /v1/admin/screening-policies so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-012,Admin,PUT /v1/admin/api-keys/:id/screening-policy,Put V1 Admin Api Keys Id Screening Policy,src/routes/admin.ts:2380,"As a admin operator, I want put v1 admin api keys id screening policy through PUT /v1/admin/api-keys/:id/screening-policy so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Admin policy update is auth gated and returns a bounded response for a missing key. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-013,Admin,GET /v1/admin/subscriptions,Get V1 Admin Subscriptions,src/routes/admin.ts:2388,"As a admin operator, I want get v1 admin subscriptions through GET /v1/admin/subscriptions so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-014,Admin,GET /v1/admin/payments,Get V1 Admin Payments,src/routes/admin.ts:2390,"As a admin operator, I want get v1 admin payments through GET /v1/admin/payments so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-015,Admin,GET /v1/admin/evaluations,Get V1 Admin Evaluations,src/routes/admin.ts:2392,"As a admin operator, I want get v1 admin evaluations through GET /v1/admin/evaluations so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-016,Admin,GET /v1/admin/screening-events,Get V1 Admin Screening Events,src/routes/admin.ts:2394,"As a admin operator, I want get v1 admin screening events through GET /v1/admin/screening-events so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-017,Admin,GET /v1/admin/audit-events,Get V1 Admin Audit Events,src/routes/admin.ts:2396,"As a admin operator, I want get v1 admin audit events through GET /v1/admin/audit-events so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-018,Admin,GET /v1/admin/improvement-proposals,Get V1 Admin Improvement Proposals,src/routes/admin.ts:2398,"As a admin operator, I want get v1 admin improvement proposals through GET /v1/admin/improvement-proposals so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-019,Admin,POST /v1/admin/actions,Post V1 Admin Actions,src/routes/admin.ts:2402,"As a admin operator, I want post v1 admin actions through POST /v1/admin/actions so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Admin action executor is auth gated and bounded for invalid/noop action requests. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-020,Agent Trust API,POST /v1/agent/trust/verify,Post V1 Agent Trust Verify,src/routes/agent-trust.ts:18,"As a API client, I want post v1 agent trust verify through POST /v1/agent/trust/verify so that Parse behavior is usable and predictable.","Validate agent handoff input, score spoofing/injection/sensitive-data/social-engineering risk on a 0-10 scale, and return a recommendation.",src/routes/agent-trust.test.ts; src/lib/trust-verification/__tests__/*.test.ts,PASS,Trust verification returns a risk score/recommendation for a benign peer-agent message. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-021,Analysis API,POST /v1/analyze,Post V1 Analyze,src/routes/analyze.ts:12,"As a API client, I want post v1 analyze through POST /v1/analyze so that Parse behavior is usable and predictable.","Validate request shape, enforce auth/rate/billing policy where required, perform the documented action, and return structured JSON/problem+json.",,PASS,Analyze endpoint validates/blocks unsafe URL schemes before work starts. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-022,Analysis API,GET /v1/analyze/:id,Get V1 Analyze Id,src/routes/analyze.ts:73,"As a API client, I want get v1 analyze id through GET /v1/analyze/:id so that Parse behavior is usable and predictable.","Validate request shape, enforce auth/rate/billing policy where required, perform the documented action, and return structured JSON/problem+json.",,PASS,Missing analysis lookup returns a bounded 404 problem response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-023,Analysis API,GET /v1/analyses,Get V1 Analyses,src/routes/analyze.ts:82,"As a API client, I want get v1 analyses through GET /v1/analyses so that Parse behavior is usable and predictable.","Validate request shape, enforce auth/rate/billing policy where required, perform the documented action, and return structured JSON/problem+json.",,PASS,Analysis list returns the in-memory analyses collection. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-024,Analysis API,GET /v1/analyze/:id/stream,SSE stream for analysis progress,src/routes/analyze.ts:87,"As a API client, I want sse stream for analysis progress through GET /v1/analyze/:id/stream so that Parse behavior is usable and predictable.","Validate request shape, enforce auth/rate/billing policy where required, perform the documented action, and return structured JSON/problem+json.",,PASS,Missing analysis SSE stream returns a bounded 404 problem response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-025,Approvals API,POST /v1/approvals,Post V1 Approvals,src/routes/approvals.ts:23,"As a API client, I want post v1 approvals through POST /v1/approvals so that Parse behavior is usable and predictable.","Create redacted expiring approval requests, bind approvals to request/action hashes, enforce single-use tokens, and reject replay/mismatches.",src/routes/approvals.test.ts,PASS,Approval request creation returns a redacted pending approval bound to an action hash. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-026,Approvals API,GET /v1/approvals/:id,Get V1 Approvals Id,src/routes/approvals.ts:81,"As a API client, I want get v1 approvals id through GET /v1/approvals/:id so that Parse behavior is usable and predictable.","Create redacted expiring approval requests, bind approvals to request/action hashes, enforce single-use tokens, and reject replay/mismatches.",src/routes/approvals.test.ts,PASS,Approval lookup returns the created approval request. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-027,Approvals API,POST /v1/approvals/:id/approve,Post V1 Approvals Id Approve,src/routes/approvals.ts:93,"As a API client, I want post v1 approvals id approve through POST /v1/approvals/:id/approve so that Parse behavior is usable and predictable.","Create redacted expiring approval requests, bind approvals to request/action hashes, enforce single-use tokens, and reject replay/mismatches.",src/routes/approvals.test.ts,PASS,Approval succeeds when action hash matches. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-028,Approvals API,POST /v1/approvals/verify,Post V1 Approvals Verify,src/routes/approvals.ts:133,"As a API client, I want post v1 approvals verify through POST /v1/approvals/verify so that Parse behavior is usable and predictable.","Create redacted expiring approval requests, bind approvals to request/action hashes, enforce single-use tokens, and reject replay/mismatches.",src/routes/approvals.test.ts,PASS,Approval token verifies once for the matching action hash. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-029,Billing,POST /v1/billing/webhook,Stripe billing webhook,src/routes/billing.ts:27,"As a billing operator, I want Stripe webhooks to verify signatures and sync subscription lifecycle events so subscription state stays accurate without trusting unsigned requests.","If billing is not configured, returns 503. With Stripe and webhook secret configured, requires a stripe-signature header, verifies the raw webhook body, handles checkout/session, invoice, and subscription lifecycle events idempotently, updates subscription/API-key state, and acknowledges valid events.",src/__tests__/billable-usage.test.ts,PASS,"Stripe mock webhook verified the signature, acknowledged the event, created an active subscription, and upgraded the API key tier. Evidence artifact: docs/qa/baseline-user-story-results.json",,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-030,Billing,POST /v1/billing/signup-checkout,Unauthenticated signup checkout,src/routes/billing.ts:180,"As a cold visitor, I want signup checkout to create a temporary Parse key and subscription checkout session in one step so I can start paid onboarding from the pricing page.","If billing is not configured, returns 503. With Stripe configured, validates tier, enforces signup rate limits and key caps, creates a 30-day self-service API key, creates a Stripe subscription checkout session with key/tier metadata, returns the key plus checkout URL, and revokes the key if checkout creation fails.",src/__tests__/billable-usage.test.ts,PASS,Stripe mock signup checkout created a disposable API key and returned a checkout session URL. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-031,Billing,POST /v1/billing/checkout,Authenticated checkout session,src/routes/billing.ts:257,"As an authenticated API user, I want checkout to create a subscription checkout session for my existing key so I can upgrade my plan.","Requires evaluate-scope authentication. If billing is not configured, returns 503; otherwise validates pro/team tier, creates a Stripe checkout session for the caller's API key, and returns the checkout URL or a bounded error if Stripe creation fails.",src/__tests__/billable-usage.test.ts,PASS,Stripe mock authenticated checkout returned a checkout session URL for the master caller. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-032,Billing,POST /v1/billing/portal,Billing portal session,src/routes/billing.ts:281,"As a subscriber, I want the billing portal route to open my Stripe customer portal when I have an active subscription and fail clearly when I do not.","Requires evaluate-scope authentication. If billing is not configured, returns 503; if the caller has no subscription, returns 404; otherwise creates a Stripe billing portal session for the stored customer and returns its URL or a bounded error if Stripe creation fails.",src/__tests__/billable-usage.test.ts,PASS,Stripe mock billing portal found an active subscription and returned a portal session URL. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-033,Billing,GET /v1/billing/usage,Get V1 Billing Usage,src/routes/billing.ts:307,"As a subscriber, I want get v1 billing usage through GET /v1/billing/usage so that Parse behavior is usable and predictable.",Create Stripe checkout/portal flows or process signed webhooks; expose usage/subscription only to authorized callers and never leak payment secrets.,src/__tests__/billable-usage.test.ts,PASS,Billing usage returns bounded data or a bounded dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-034,Billing,GET /v1/billing/subscription,Get V1 Billing Subscription,src/routes/billing.ts:336,"As a subscriber, I want get v1 billing subscription through GET /v1/billing/subscription so that Parse behavior is usable and predictable.",Create Stripe checkout/portal flows or process signed webhooks; expose usage/subscription only to authorized callers and never leak payment secrets.,src/__tests__/billable-usage.test.ts,PASS,Billing subscription returns bounded data or a bounded dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-035,Chat API,POST /v1/chat,Post V1 Chat,src/routes/chat.ts:14,"As a API client, I want post v1 chat through POST /v1/chat so that Parse behavior is usable and predictable.","Validate request shape, enforce auth/rate/billing policy where required, perform the documented action, and return structured JSON/problem+json.",,PASS,Chat endpoint validates an empty messages array before invoking a model. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-036,Discovery,GET /robots.txt,1. robots.txt — AI-crawler-friendly,src/routes/discovery.ts:24,"As a agent crawler, I want 1. robots.txt — ai-crawler-friendly through GET /robots.txt so that Parse behavior is usable and predictable.","Serve public HTML/asset/manifest content with security headers, correct content type, stable links, and no 5xx; content routes return 404 for missing slugs and markdown when requested.",,PASS,GET surface returned HTTP 200 without leaking credentials. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-037,Discovery,GET /sitemap.xml,2. sitemap.xml — dynamic sitemap,src/routes/discovery.ts:75,"As a agent crawler, I want 2. sitemap.xml — dynamic sitemap through GET /sitemap.xml so that Parse behavior is usable and predictable.","Serve public HTML/asset/manifest content with security headers, correct content type, stable links, and no 5xx; content routes return 404 for missing slugs and markdown when requested.",,PASS,GET surface returned HTTP 200 without leaking credentials. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-038,Discovery,GET /llms.txt,Get Llms.Txt,src/routes/discovery.ts:209,"As a agent crawler, I want get llms.txt through GET /llms.txt so that Parse behavior is usable and predictable.","Serve public HTML/asset/manifest content with security headers, correct content type, stable links, and no 5xx; content routes return 404 for missing slugs and markdown when requested.",src/routes/discovery-geo.test.ts,PASS,GET surface returned HTTP 200 without leaking credentials. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-039,Discovery,GET /llms-full.txt,4. llms-full.txt — concatenated full docs,src/routes/discovery.ts:219,"As a agent crawler, I want 4. llms-full.txt — concatenated full docs through GET /llms-full.txt so that Parse behavior is usable and predictable.","Serve public HTML/asset/manifest content with security headers, correct content type, stable links, and no 5xx; content routes return 404 for missing slugs and markdown when requested.",src/routes/discovery-geo.test.ts,PASS,GET surface returned HTTP 200 without leaking credentials. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-040,Discovery,GET /.well-known/ai-plugin.json,5. .well-known/ai-plugin.json — OpenAI-style plugin manifest,src/routes/discovery.ts:291,"As a agent crawler, I want 5. .well-known/ai-plugin.json — openai-style plugin manifest through GET /.well-known/ai-plugin.json so that Parse behavior is usable and predictable.","Serve public HTML/asset/manifest content with security headers, correct content type, stable links, and no 5xx; content routes return 404 for missing slugs and markdown when requested.",src/routes/discovery-geo.test.ts,PASS,GET surface returned HTTP 200 without leaking credentials. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-041,Discovery,GET /.well-known/agent-card.json,6. .well-known/agent-card.json — Google A2A Agent Card,src/routes/discovery.ts:338,"As a agent crawler, I want 6. .well-known/agent-card.json — google a2a agent card through GET /.well-known/agent-card.json so that Parse behavior is usable and predictable.","Serve public HTML/asset/manifest content with security headers, correct content type, stable links, and no 5xx; content routes return 404 for missing slugs and markdown when requested.",src/routes/discovery-geo.test.ts,PASS,GET surface returned HTTP 200 without leaking credentials. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
